"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60256","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Tue Apr 14 22:54:53 UTC 2026","broken","Tue Apr 14 22:55:53 UTC 2026","","","",""
"","7485","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Tue Apr 14 22:54:15 UTC 2026","failed","Tue Apr 14 22:54:23 UTC 2026","","","",""
"","5263","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Tue Apr 14 22:53:25 UTC 2026","passed","Tue Apr 14 22:53:30 UTC 2026","","","",""
"","4134","TC-001.2: should display error message on invalid login","Authentication - Login","Tue Apr 14 22:53:21 UTC 2026","passed","Tue Apr 14 22:53:25 UTC 2026","","","",""
"","6138","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Tue Apr 14 22:54:46 UTC 2026","failed","Tue Apr 14 22:54:53 UTC 2026","","","",""
"","18560","TC-001.1: should login with valid credentials","Authentication - Login","Tue Apr 14 22:53:02 UTC 2026","passed","Tue Apr 14 22:53:21 UTC 2026","","","",""
"","5604","TC-002.1: should register a new account with valid data","Authentication - Registration","Tue Apr 14 22:54:04 UTC 2026","passed","Tue Apr 14 22:54:10 UTC 2026","","","",""
"","4216","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Tue Apr 14 22:52:57 UTC 2026","passed","Tue Apr 14 22:53:01 UTC 2026","","","",""
"","6149","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Tue Apr 14 22:54:40 UTC 2026","failed","Tue Apr 14 22:54:46 UTC 2026","","","",""
"","27934","TC-003.1: should logout successfully","Authentication - Logout","Tue Apr 14 22:53:32 UTC 2026","passed","Tue Apr 14 22:54:00 UTC 2026","","","",""
"","1947","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Tue Apr 14 22:54:10 UTC 2026","passed","Tue Apr 14 22:54:12 UTC 2026","","","",""
"","6717","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Tue Apr 14 22:54:23 UTC 2026","failed","Tue Apr 14 22:54:29 UTC 2026","","","",""
"","3447","TC-007.1: User should search for a product successfully","Product Browsing & Search","Tue Apr 14 22:56:58 UTC 2026","passed","Tue Apr 14 22:57:01 UTC 2026","","","",""
"","6746","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Tue Apr 14 22:54:33 UTC 2026","failed","Tue Apr 14 22:54:40 UTC 2026","","","",""
"","30240","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Tue Apr 14 22:55:57 UTC 2026","failed","Tue Apr 14 22:56:28 UTC 2026","","","",""
"","28133","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Tue Apr 14 22:56:28 UTC 2026","failed","Tue Apr 14 22:56:56 UTC 2026","","","",""
